country,name,firstname,position,team,games,goals,assists,points,salary,dollar_point,,,,
SWE,Johansson,Marcus,LW/C/RW,WSH,82,24,34,58,CA$4'250'000.00,CA$ 79022.98,,,,
CZE,Hanzal,Martin,C,ARI/MIN,71,20,19,39,CA$3'500'000.00,CA$ 79487.18,,,,
CAN,Seguin,Tyler,C/RW,DAL,82,26,46,72,CA$6'000'000.00,CA$ 79861.11,,,,
CAN,Carter,Jeff,C/RW,L.A,82,32,34,66,CA$7'000'000.00,CA$ 79889.80,,,,
USA,Boyle,Brian,C/LW,T.B/TOR,75,13,12,25,CA$2'000'000.00,CA$ 80000.00,,,,
USA,McCabe,Jake,D,BUF,76,3,17,20,CA$1'250'000.00,CA$ 80000.00,,,,
CAN,Carr,Daniel,LW,MTL,33,2,7,9,CA$725'000.00,CA$ 80555.56,,,,
USA,Cole,Ian,D,PIT,81,5,21,26,CA$2'300'000.00,CA$ 80769.23,,,,
CAN,Demelo,Dylan,D,S.J,25,1,7,8,CA$600'000.00,CA$ 81250.00,,,,
CAN,Falk,Justin,D,BUF,52,0,8,8,CA$650'000.00,CA$ 81250.00,,,,
CAN,MacKenzie,Derek,C/LW,FLA,82,6,10,16,CA$1'300'000.00,CA$ 81250.00,,,,
CAN,Manning,Brandon,D,PHI,65,3,9,12,CA$950'000.00,CA$ 81250.00,,,,
CAN,Paquette,Cedric,C/LW,T.B,58,4,6,10,CA$800'000.00,CA$ 81250.00,,,,
CAN,Perron,David,LW/RW,STL,82,18,28,46,CA$3'750'000.00,CA$ 81521.74,,,,
CHE,Josi,Roman,D,NSH,72,12,37,49,CA$4'250'000.00,CA$ 81632.65,,,,
RUS,Soshnikov,Nikita,RW,TOR,56,5,4,9,CA$742'500.00,CA$ 81851.89,,,,
USA,Lewis,Trevor,C/RW/LW,L.A,82,12,12,24,CA$2'000'000.00,CA$ 83333.33,,,,
CAN,Quincey,Kyle,D,CBJ/N.J,73,6,9,15,CA$1'250'000.00,CA$ 83333.33,,,,
CAN,Strome,Ryan,RW/C,NYI,69,13,17,30,CA$2'000'000.00,CA$ 83333.33,,,,
CAN,Tavares,John,C,NYI,77,28,38,66,CA$6'000'000.00,CA$ 83333.33,,,,
AUT,Dano,Marko,C/LW/RW,WPG,38,4,7,11,CA$925'000.00,CA$ 84090.91,,,,
CAN,Hoffman,Mike,LW/C,OTT,74,26,35,61,CA$3'800'000.00,CA$ 85040.98,,,,
CAN,Jenner,Boone,C/LW,CBJ,82,18,16,34,CA$2'900'000.00,CA$ 85294.12,,,,
CAN,Pelech,Adam,D,NYI,44,3,7,10,CA$925'000.00,CA$ 85433.30,,,,
CAN,Cogliano,Andrew,LW/C/RW,ANA,82,16,19,35,CA$3'100'000.00,CA$ 85714.29,,,,
CAN,Fedun,Taylor,D,BUF,27,0,7,7,CA$600'000.00,CA$ 85714.29,,,,
CAN,Carrier,William,LW,BUF,41,5,3,8,CA$650'000.00,CA$ 86145.88,,,,
CAN,Ho-Sang,Joshua,RW/C,NYI,21,4,6,10,CA$925'000.00,CA$ 86333.30,,,,
SWE,Larsson,Johan,C/LW,BUF,36,6,5,11,CA$950'000.00,CA$ 86363.64,,,,
CAN,Reaves,Ryan,RW,STL,80,7,6,13,CA$1'125'000.00,CA$ 86538.46,,,,
SWE,Klingberg,John,D,DAL,80,13,36,49,CA$2'750'000.00,CA$ 86734.69,,,,
CZE,Jagr,Jaromir,RW,FLA,82,16,30,46,CA$4'000'000.00,CA$ 86956.52,,,,
USA,Kreider,Chris,LW/C,NYR,75,28,25,53,CA$5'000'000.00,CA$ 87264.15,,,,
USA,Bitetto,Anthony,D,NSH,29,0,7,7,CA$575'000.00,CA$ 87500.00,,,,
CAN,Rowney,Carter,RW/C,PIT,27,3,4,7,CA$575'000.00,CA$ 87500.00,,,,
USA,Palmieri,Kyle,RW/C/LW,N.J,80,26,27,53,CA$4'500'000.00,CA$ 87735.85,,,,
USA,Trocheck,Vincent,C/RW,FLA,82,23,31,54,CA$3'750'000.00,CA$ 87962.96,,,,
CAN,Campbell,Brian,D,CHI,80,5,12,17,CA$1'500'000.00,CA$ 88235.29,,,,
USA,Pavelski,Joe,C/RW,S.J,81,29,39,68,CA$6'000'000.00,CA$ 88235.29,,,,
USA,Pateryn,Greg,D,DAL/MTL,36,1,8,9,CA$750'000.00,CA$ 88888.89,,,,
SWE,Rask,Victor,C,CAR,82,16,29,45,CA$4'000'000.00,CA$ 88888.89,,,,
FRA,Bellemare,Pierre-Edouard,LW/C,PHI,82,4,4,8,CA$725'000.00,CA$ 89062.50,,,,
USA,Prosser,Nate,D,MIN,39,2,5,7,CA$650'000.00,CA$ 89285.71,,,,
CAN,Sproul,Ryan,D,DET,27,1,6,7,CA$600'000.00,CA$ 89285.71,,,,
RUS,Zadorov,Nikita,D,COL,56,0,10,10,CA$832'500.00,CA$ 89416.70,,,,
SWE,Zetterberg,Henrik,LW/C,DET,82,17,51,68,CA$7'500'000.00,CA$ 89460.78,,,,
CAN,Winnik,Daniel,LW/C,WSH,72,12,13,25,CA$1'800'000.00,CA$ 90000.00,,,,
SWE,Folin,Christian,D,MIN,51,2,6,8,CA$850'000.00,CA$ 90625.00,,,,
CAN,Skinner,Jeff,LW/C/RW,CAR,79,37,26,63,CA$6'000'000.00,CA$ 90873.02,,,,
RUS,Jaskin,Dmitrij,RW/LW,STL,51,1,10,11,CA$1'000'000.00,CA$ 90909.09,,,,
USA,Wagner,Chris,C/RW,ANA,43,6,1,7,CA$625'000.00,CA$ 91071.43,,,,
NOR,Martinsen,Andreas,LW/C,COL/MTL,64,3,4,7,CA$640'000.00,CA$ 91428.57,,,,
SWE,Karlsson,Erik,D,OTT,77,17,54,71,CA$7'000'000.00,CA$ 91549.30,,,,
EST,Komarov,Leo,C/LW,TOR,82,14,18,32,CA$2'950'000.00,CA$ 92187.50,,,,
RUS,Slepyshev,Anton,LW,EDM,41,4,6,10,CA$925'000.00,CA$ 92500.00,,,,
CAN,Smith,Reilly,RW/C/LW,FLA,80,15,22,37,CA$3'500'000.00,CA$ 92567.57,,,,
CAN,Schenn,Brayden,C/LW,PHI,79,25,30,55,CA$6'000'000.00,CA$ 93181.82,,,,
USA,Carrick,Connor,D,TOR,67,2,6,8,CA$650'000.00,CA$ 93750.00,,,,
SWE,Stalberg,Viktor,LW/RW,CAR/OTT,75,11,5,16,CA$1'500'000.00,CA$ 93750.00,,,,
USA,Gardiner,Jake,D,TOR,82,9,34,43,CA$4'050'000.00,CA$ 94186.05,,,,
USA,Flynn,Brian,C/RW,MTL,51,6,4,10,CA$950'000.00,CA$ 95000.00,,,,
USA,Gravel,Kevin,D,L.A,49,1,6,7,CA$667'500.00,CA$ 95357.14,,,,
CAN,Toffoli,Tyler,C/RW/LW,L.A,63,16,18,34,CA$3'900'000.00,CA$ 95588.24,,,,
USA,Gionta,Stephen,RW/C,NYI,26,1,5,6,CA$575'000.00,CA$ 95833.33,,,,
CAN,Theodore,Shea,D,ANA,34,2,7,9,CA$832'500.00,CA$ 95925.89,,,,
SWE,Hornqvist,Patric,RW,PIT,70,21,23,44,CA$4'750'000.00,CA$ 96590.91,,,,
RUS,Burmistrov,Alex,C/RW,ARI/WPG,49,5,11,16,CA$1'600'000.00,CA$ 96875.00,,,,
CAN,Schwartz,Jaden,LW/C,STL,78,19,36,55,CA$5'250'000.00,CA$ 97272.73,,,,
CZE,Frolik,Michael,RW/C,CGY,82,17,27,44,CA$5'000'000.00,CA$ 97727.27,,,,
CAN,Crosby,Sidney,C,PIT,75,44,45,89,CA$10'900'000.00,CA$ 97752.81,,,,
USA,Foligno,Marcus,LW,BUF,80,13,10,23,CA$2'250'000.00,CA$ 97826.09,,,,
SWE,Nyquist,Gustav,RW/C/LW,DET,76,12,36,48,CA$4'250'000.00,CA$ 98958.33,,,,
CAN,Henrique,Adam,C,N.J,82,20,20,40,CA$4'500'000.00,CA$ 100000.00,,,,
DEU,Holzer,Korbinian,D,ANA,32,2,5,7,CA$700'000.00,CA$ 100000.00,,,,
CAN,Hunt,Brad,D,NSH/STL,12,1,5,6,CA$600'000.00,CA$ 100000.00,,,,
CAN,Little,Bryan,C/RW,WPG,59,21,26,47,CA$5'000'000.00,CA$ 100000.00,,,,
CAN,McKegg,Greg,C,FLA/T.B,46,3,4,7,CA$700'000.00,CA$ 100000.00,,,,
CAN,Puempel,Matt,LW,NYR/OTT,40,6,3,9,CA$900'000.00,CA$ 100000.00,,,,
RUS,Tarasenko,Vladimir,RW,STL,82,39,36,75,CA$8'000'000.00,CA$ 100000.00,,,,
USA,Trouba,Jacob,D,WPG,60,8,25,33,CA$2'500'000.00,CA$ 100267.39,,,,
RUS,Anisimov,Artem,C/LW,CHI,64,22,23,45,CA$5'750'000.00,CA$ 101111.11,,,,
CAN,Fowler,Cam,D,ANA,80,11,28,39,CA$4'000'000.00,CA$ 102564.10,,,,
USA,Martinez,Alec,D,L.A,82,9,30,39,CA$3'900'000.00,CA$ 102564.10,,,,
RUS,Tryamkin,Nikita,D,VAN,66,2,7,9,CA$925'000.00,CA$ 102777.78,,,,
USA,Krug,Torey,D,BOS,81,8,43,51,CA$5'000'000.00,CA$ 102941.18,,,,
SWE,Forsberg,Filip,LW/C/RW,NSH,82,31,27,58,CA$6'000'000.00,CA$ 103448.28,,,,
CZE,Sustr,Andrej,D,T.B,80,3,11,14,CA$1'600'000.00,CA$ 103571.43,,,,
CAN,Keith,Duncan,D,CHI,80,6,47,53,CA$6'000'000.00,CA$ 104499.28,,,,
CAN,Fisher,Mike,C,NSH,72,18,24,42,CA$4'000'000.00,CA$ 104761.90,,,,
CAN,Wilson,Tom,RW,WSH,82,7,12,19,CA$1'750'000.00,CA$ 105263.16,,,,
SWE,Nordstrom,Joakim,LW/C,CAR,82,7,5,12,CA$1'250'000.00,CA$ 106250.00,,,,
CAN,Elie,Remi,LW,DAL,18,1,6,7,CA$767'500.00,CA$ 106428.57,,,,
RUS,Radulov,Alex,RW,MTL,76,18,36,54,CA$5'750'000.00,CA$ 106481.48,,,,
USA,Carlson,John,D,WSH,72,9,28,37,CA$4'000'000.00,CA$ 107207.22,,,,
CAN,Smith,Gemel,C,DAL,17,3,3,6,CA$670'000.00,CA$ 107500.00,,,,
USA,Foligno,Nick,LW/RW,CBJ,79,26,25,51,CA$5'500'000.00,CA$ 107843.14,,,,
CAN,Holland,Peter,C,ARI/TOR,48,5,7,12,CA$1'300'000.00,CA$ 108333.33,,,,
SWE,Berglund,Patrik,C/LW,STL,82,23,11,34,CA$3'700'000.00,CA$ 108823.53,,,,
USA,Sanford,Zach,LW,STL/WSH,39,4,4,8,CA$875'000.00,CA$ 109375.00,,,,
SWE,Klefbom,Oscar,D,EDM,82,12,26,38,CA$3'000'000.00,CA$ 109657.89,,,,
CAN,Monahan,Sean,C,CGY,82,27,31,58,CA$6'500'000.00,CA$ 109913.79,,,,
CAN,Hickey,Thomas,D,NYI,76,4,16,20,CA$2'250'000.00,CA$ 110000.00,,,,
SWE,Josefson,Jacob,C/LW,N.J,38,1,9,10,CA$1'100'000.00,CA$ 110000.00,,,,
USA,Gaudreau,Johnny,LW,CGY,72,18,43,61,CA$6'750'000.00,CA$ 110655.74,,,,
USA,McDonagh,Ryan,D,NYR,77,6,36,42,CA$5'000'000.00,CA$ 111904.76,,,,
USA,Tennyson,Matt,D,CAR,45,0,6,6,CA$675'000.00,CA$ 112500.00,,,,
USA,Wilson,Colin,LW/C,NSH,70,12,23,35,CA$4'000'000.00,CA$ 112500.00,,,,
CAN,Ward,Joel,RW/C,S.J,78,10,19,29,CA$3'275'000.00,CA$ 112931.03,,,,
CAN,Getzlaf,Ryan,C,ANA,74,15,58,73,CA$9'250'000.00,CA$ 113013.70,,,,
CAN,Hall,Taylor,LW/C,N.J,72,20,33,53,CA$6'000'000.00,CA$ 113207.55,,,,
USA,Saad,Brandon,LW/RW,CBJ,82,24,29,53,CA$5'750'000.00,CA$ 113207.55,,,,
FIN,Barkov,Aleksander,C,FLA,61,21,31,52,CA$4'500'000.00,CA$ 113461.54,,,,
CAN,Steen,Alex,LW/C,STL,76,16,35,51,CA$6'500'000.00,CA$ 113725.49,,,,
USA,Kessel,Phil,RW/C,PIT,82,23,47,70,CA$9'000'000.00,CA$ 114285.71,,,,
CAN,Ott,Steve,C/LW,DET/MTL,53,3,4,7,CA$800'000.00,CA$ 114285.71,,,,
CAN,Hamilton,Dougie,D,CGY,81,13,37,50,CA$5'500'000.00,CA$ 115000.00,,,,
CAN,Couture,Logan,C/LW,S.J,73,25,27,52,CA$6'000'000.00,CA$ 115384.62,,,,
USA,Ladue,Paul,D,L.A,22,0,8,8,CA$925'000.00,CA$ 115625.00,,,,
SWE,Puljujarvi,Jesse,RW,EDM,28,1,7,8,CA$925'000.00,CA$ 115625.00,,,,
FIN,Koivu,Mikko,C,MIN,80,18,40,58,CA$5'400'000.00,CA$ 116379.31,,,,
CAN,Schlemko,David,D,S.J,62,2,16,18,CA$2'500'000.00,CA$ 116666.67,,,,
CAN,Di Giuseppe,Phillip,LW,CAR,36,1,6,7,CA$867'500.00,CA$ 116785.71,,,,
FIN,Nutivaara,Markus,D,CBJ,66,2,5,7,CA$792'500.00,CA$ 116785.71,,,,
SVK,Hossa,Marian,RW,CHI,73,26,19,45,CA$4'000'000.00,CA$ 117222.22,,,,
CAN,Eberle,Jordan,RW/C,EDM,82,20,31,51,CA$6'000'000.00,CA$ 117647.06,,,,
USA,Kane,Patrick,RW/C,CHI,82,34,55,89,CA$13'800'000.00,CA$ 117977.53,,,,
USA,Stepan,Derek,C,NYR,81,17,38,55,CA$8'000'000.00,CA$ 118181.82,,,,
USA,Kesler,Ryan,C/RW,ANA,82,22,36,58,CA$7'875'000.00,CA$ 118534.48,,,,
CAN,Nolan,Jordan,C/LW/RW,L.A,46,4,4,8,CA$1'000'000.00,CA$ 118750.00,,,,
CAN,MacKinnon,Nathan,C/RW,COL,82,16,37,53,CA$5'000'000.00,CA$ 118867.92,,,,
FIN,Filppula,Valtteri,C/LW,PHI/T.B,79,12,30,42,CA$5'000'000.00,CA$ 119047.62,,,,
CAN,Pominville,Jason,RW,MIN,78,13,34,47,CA$6'250'000.00,CA$ 119148.94,,,,
USA,Leddy,Nick,D,NYI,81,11,35,46,CA$4'500'000.00,CA$ 119565.22,,,,
CAN,Comeau,Blake,LW/RW,COL,77,8,12,20,CA$2'400'000.00,CA$ 120000.00,,,,
CAN,Lucic,Milan,LW,EDM,82,23,27,50,CA$8'000'000.00,CA$ 120000.00,,,,
FIN,Ristolainen,Rasmus,D,BUF,79,6,39,45,CA$5'400'000.00,CA$ 120000.00,,,,
USA,Lappin,Nick,RW,N.J,43,4,3,7,CA$842'500.00,CA$ 120357.14,,,,
USA,Gionta,Brian,RW,BUF,82,15,20,35,CA$3'250'000.00,CA$ 121428.57,,,,
CAN,King,Dwight,LW/RW,L.A/MTL,80,9,7,16,CA$2'100'000.00,CA$ 121875.00,,,,
CAN,Neal,James,RW/LW,NSH,70,23,18,41,CA$5'000'000.00,CA$ 121951.22,,,,
CAN,Kane,Evander,LW,BUF,70,28,15,43,CA$6'000'000.00,CA$ 122093.02,,,,
USA,Redmond,Zach,D,MTL,16,0,5,5,CA$575'000.00,CA$ 122500.00,,,,
CAN,Killorn,Alex,LW/C,T.B,81,19,17,36,CA$4'450'000.00,CA$ 123611.11,,,,
SWE,Dahlbeck,Klas,D,CAR,43,2,4,6,CA$750'000.00,CA$ 125000.00,,,,
CAN,Griffith,Seth,C/RW,FLA/TOR,24,0,5,5,CA$625'000.00,CA$ 125000.00,,,,
DNK,Hansen,Jannik,RW,S.J/VAN,43,8,12,20,CA$3'000'000.00,CA$ 125000.00,,,,
CAN,Huberdeau,Jonathan,LW/C,FLA,31,10,16,26,CA$4'000'000.00,CA$ 125000.00,,,,
USA,Couturier,Sean,C,PHI,66,14,20,34,CA$3'750'000.00,CA$ 127450.97,,,,
SWE,Eriksson Ek,Joel,C/RW/LW,MIN,15,3,4,7,CA$925'000.00,CA$ 127738.14,,,,
CAN,McCann,Jared,C,FLA,29,1,6,7,CA$925'000.00,CA$ 127738.14,,,,
CAN,Zajac,Travis,C,N.J,80,14,31,45,CA$6'500'000.00,CA$ 127777.78,,,,
DNK,Nielsen,Frans,C,DET,79,17,24,41,CA$6'000'000.00,CA$ 128048.78,,,,
CAN,Brassard,Derick,C,OTT,81,14,25,39,CA$5'000'000.00,CA$ 128205.13,,,,
CAN,Hartnell,Scott,LW,CBJ,78,13,24,37,CA$5'000'000.00,CA$ 128378.38,,,,
USA,Jones,Seth,D,CBJ,75,12,30,42,CA$5'400'000.00,CA$ 128571.43,,,,
USA,Sutter,Brandon,C,VAN,81,17,17,34,CA$4'250'000.00,CA$ 128676.47,,,,
CAN,Brodie,T.J.,D,CGY,82,6,30,36,CA$4'838'000.00,CA$ 129177.78,,,,
CAN,Gallagher,Brendan,RW,MTL,64,10,19,29,CA$4'500'000.00,CA$ 129310.34,,,,
CAN,Bergeron,Patrice,C,BOS,79,21,32,53,CA$8'750'000.00,CA$ 129716.98,,,,
USA,Faulk,Justin,D,CAR,75,17,20,37,CA$5'500'000.00,CA$ 130630.62,,,,
CAN,Oleksiak,Jamie,D,DAL,41,5,2,7,CA$918'750.00,CA$ 131250.00,,,,
RUS,Malkin,Evgeni,C/RW,PIT,62,33,39,72,CA$9'500'000.00,CA$ 131944.44,,,,
USA,Motte,Tyler,LW/C,CHI,33,4,3,7,CA$925'000.00,CA$ 132142.86,,,,
USA,Santini,Steven,D,N.J,38,2,5,7,CA$925'000.00,CA$ 132142.86,,,,
CAN,Kunitz,Chris,LW,PIT,71,9,20,29,CA$3'550'000.00,CA$ 132758.62,,,,
CAN,Clifford,Kyle,LW/C,L.A,73,6,6,12,CA$1'250'000.00,CA$ 133333.33,,,,
USA,Okposo,Kyle,RW,BUF,65,19,26,45,CA$8'000'000.00,CA$ 133333.33,,,,
CAN,Staal,Jordan,C/LW,CAR,75,16,29,45,CA$6'000'000.00,CA$ 133333.33,,,,
CAN,Cizikas,Casey,C,NYI,59,8,17,25,CA$2'500'000.00,CA$ 134000.00,,,,
CZE,Krejci,David,C,BOS,82,23,31,54,CA$7'250'000.00,CA$ 134259.26,,,,
CAN,Shaw,Andrew,C/LW/RW,MTL,68,12,17,29,CA$5'500'000.00,CA$ 134482.76,,,,
CAN,Thornton,Joe,C,S.J,79,7,43,50,CA$6'750'000.00,CA$ 135000.00,,,,
CZE,Voracek,Jakub,RW,PHI,82,20,41,61,CA$10'000'000.00,CA$ 135245.90,,,,
CAN,Pietrangelo,Alex,D,STL,80,14,34,48,CA$7'000'000.00,CA$ 135416.67,,,,
CAN,Stajan,Matt,C,CGY,81,6,17,23,CA$3'000'000.00,CA$ 135869.57,,,,
CZE,Hertl,Tomas,C/RW,S.J,49,10,12,22,CA$2'800'000.00,CA$ 136363.64,,,,
CAN,O'Reilly,Ryan,C/LW/RW,BUF,72,20,35,55,CA$11'000'000.00,CA$ 136363.64,,,,
CAN,Spurgeon,Jared,D,MIN,76,10,28,38,CA$4'250'000.00,CA$ 136513.16,,,,
CAN,Clutterbuck,Cal,RW,NYI,66,5,15,20,CA$3'500'000.00,CA$ 137500.00,,,,
USA,Hathaway,Garnet,RW,CGY,26,1,4,5,CA$722'500.00,CA$ 138000.00,,,,
RUS,Ovechkin,Alex,LW/RW,WSH,82,33,36,69,CA$10'000'000.00,CA$ 138238.58,,,,
CAN,Nugent-Hopkins,Ryan,C,EDM,82,18,25,43,CA$6'000'000.00,CA$ 139534.88,,,,
DNK,Eller,Lars,C/LW/RW,WSH,81,12,13,25,CA$4'250'000.00,CA$ 140000.00,,,,
CAN,Ribeiro,Mike,C,NSH,46,4,21,25,CA$3'500'000.00,CA$ 140000.00,,,,
SWE,Sedin,Henrik,C,VAN,82,15,35,50,CA$7'000'000.00,CA$ 140000.00,,,,
CAN,Rodrigues,Evan,LW/C,BUF,30,4,2,6,CA$842'500.00,CA$ 140416.67,,,,
SWE,Ekman-Larsson,Oliver,D,ARI,79,12,27,39,CA$6'000'000.00,CA$ 141025.64,,,,
CAN,Giroux,Claude,C/RW,PHI,82,14,44,58,CA$9'000'000.00,CA$ 142672.41,,,,
USA,Dubinsky,Brandon,C/LW,CBJ,80,12,29,41,CA$5'850'000.00,CA$ 142682.93,,,,
FIN,Jokinen,Jussi,LW/RW/C,FLA,69,11,17,28,CA$4'000'000.00,CA$ 142857.14,,,,
CAN,Muzzin,Jake,D,L.A,82,9,19,28,CA$4'000'000.00,CA$ 142857.14,,,,
CAN,Doan,Shane,RW/LW,ARI,74,6,21,27,CA$3'876'134.00,CA$ 143560.52,,,,
CAN,Conacher,Cory,C/LW,T.B,11,1,3,4,CA$575'000.00,CA$ 143750.00,,,,
CAN,Dumont,Gabriel,C,T.B,39,2,2,4,CA$575'000.00,CA$ 143750.00,,,,
CAN,Gaunce,Cameron,D,PIT,12,1,3,4,CA$575'000.00,CA$ 143750.00,,,,
USA,Witkowski,Luke,D,T.B,34,0,4,4,CA$575'000.00,CA$ 143750.00,,,,
CAN,Zolnierczyk,Harry,LW,NSH,24,2,2,4,CA$575'000.00,CA$ 143750.00,,,,
CZE,Vrana,Jakub,LW,WSH,21,3,3,6,CA$925'000.00,CA$ 143888.83,,,,
CAN,Smith-Pelly,Devante,RW/C/LW,N.J,53,4,5,9,CA$1'250'000.00,CA$ 144444.44,,,,
CAN,Barrie,Tyson,D,COL,74,7,31,38,CA$5'000'000.00,CA$ 144736.84,,,,
CAN,Marleau,Patrick,LW/C,S.J,82,27,19,46,CA$6'500'000.00,CA$ 144927.54,,,,
CAN,Burrows,Alex,LW/RW,OTT/VAN,75,15,16,31,CA$3'000'000.00,CA$ 145161.29,,,,
CZE,Gudas,Radko,D,PHI,67,6,17,23,CA$4'000'000.00,CA$ 145652.17,,,,
USA,Byfuglien,Dustin,D/RW,WPG,80,13,39,52,CA$8'000'000.00,CA$ 146153.85,,,,
CAN,Duchene,Matt,C/LW,COL,77,18,23,41,CA$6'000'000.00,CA$ 146341.46,,,,
USA,Miller,Drew,LW/RW,DET,55,5,2,7,CA$1'025'000.00,CA$ 146428.57,,,,
USA,Smith,Craig,RW/LW/C,NSH,78,12,17,29,CA$4'000'000.00,CA$ 146551.72,,,,
CAN,Calvert,Matt,LW,CBJ,65,10,5,15,CA$2'200'000.00,CA$ 146666.67,,,,
USA,Niskanen,Matt,D,WSH,78,5,34,39,CA$5'750'000.00,CA$ 147435.90,,,,
SWE,Kempe,Adrian,LW/C,L.A,25,2,4,6,CA$925'000.00,CA$ 149027.83,,,,
CHE,Meier,Timo,RW,S.J,34,3,3,6,CA$925'000.00,CA$ 149027.83,,,,
USA,Carpenter,Ryan,C,S.J,11,2,2,4,CA$600'000.00,CA$ 150000.00,,,,
CAN,Goloubef,Cody,D,COL,33,0,5,5,CA$800'000.00,CA$ 150000.00,,,,
FIN,Jokipakka,Jyrki,D,CGY/OTT,41,1,5,6,CA$900'000.00,CA$ 150000.00,,,,
CAN,McClement,Jay,C,CAR,65,5,3,8,CA$1'100'000.00,CA$ 150000.00,,,,
CAN,Spezza,Jason,C,DAL,68,15,35,50,CA$7'500'000.00,CA$ 150000.00,,,,
CAN,Terry,Chris,LW/RW,MTL,14,2,2,4,CA$600'000.00,CA$ 150000.00,,,,
CAN,Vlasic,Marc-Edouard,D,S.J,75,6,22,28,CA$4'250'000.00,CA$ 151785.71,,,,
USA,Goligoski,Alex,D,ARI,82,6,30,36,CA$5'375'000.00,CA$ 152083.33,,,,
DNK,Boedker,Mikkel,LW/RW,S.J,81,10,16,26,CA$5'200'000.00,CA$ 153846.15,,,,
RUS,Tyutin,Fedor,D,COL,69,1,12,13,CA$2'000'000.00,CA$ 153846.15,,,,
CAN,Montour,Brandon,D,ANA,27,2,4,6,CA$925'000.00,CA$ 154166.67,,,,
USA,Yandle,Keith,D,FLA,82,5,36,41,CA$7'500'000.00,CA$ 154878.05,,,,
CAN,Moulson,Matt,LW,BUF,81,14,18,32,CA$5'000'000.00,CA$ 156250.00,,,,
CAN,Schenn,Luke,D,ARI,78,1,7,8,CA$1'000'000.00,CA$ 156250.00,,,,
CAN,Weise,Dale,RW,PHI,64,8,7,15,CA$2'750'000.00,CA$ 156666.67,,,,
SVK,Sekera,Andrej,D,EDM,80,8,27,35,CA$6'500'000.00,CA$ 157142.86,,,,
USA,Backes,David,RW/C,BOS,74,17,21,38,CA$8'000'000.00,CA$ 157894.74,,,,
CAN,Gryba,Eric,D,EDM,40,2,4,6,CA$950'000.00,CA$ 158333.33,,,,
USA,Acciari,Noel,C,BOS,29,2,3,5,CA$892'500.00,CA$ 158500.00,,,,
CAN,Doughty,Drew,D,L.A,82,12,32,44,CA$7'450'000.00,CA$ 159090.91,,,,
SWE,Sedin,Daniel,LW,VAN,82,15,29,44,CA$7'000'000.00,CA$ 159090.91,,,,
CAN,Sheahan,Riley,C,DET,80,2,11,13,CA$2'075'000.00,CA$ 159615.38,,,,
RUS,Markov,Andrei,D,MTL,62,6,30,36,CA$4'250'000.00,CA$ 159722.22,,,,
CAN,Chorney,Taylor,D,WSH,18,1,4,5,CA$775'000.00,CA$ 160000.00,,,,
CAN,Demers,Jason,D,FLA,81,9,19,28,CA$5'500'000.00,CA$ 160714.29,,,,
CAN,Cammalleri,Mike,LW/C,N.J,61,10,21,31,CA$5'000'000.00,CA$ 161290.32,,,,
CAN,Grant,Derek,C,BUF/NSH,46,0,4,4,CA$650'000.00,CA$ 162500.00,,,,
CAN,Perry,Corey,RW,ANA,82,19,34,53,CA$10'000'000.00,CA$ 162735.85,,,,
SWE,Ekholm,Mattias,D,NSH,82,3,20,23,CA$3'000'000.00,CA$ 163043.48,,,,
USA,Brown,Dustin,RW/LW,L.A,80,14,22,36,CA$7'000'000.00,CA$ 163194.44,,,,
CAN,Ceci,Cody,D,OTT,79,2,15,17,CA$2'250'000.00,CA$ 164705.88,,,,
USA,Hainsey,Ron,D,CAR/PIT,72,4,13,17,CA$2'500'000.00,CA$ 166666.65,,,,
CAN,Green,Mike,D,DET,72,14,22,36,CA$6'000'000.00,CA$ 166666.67,,,,
SWE,Brodin,Jonas,D,MIN,68,3,22,25,CA$4'000'000.00,CA$ 166666.68,,,,
USA,Bailey,Justin,RW,BUF,32,2,2,4,CA$692'500.00,CA$ 167500.00,,,,
USA,Smith,Ben,RW/C,COL/TOR,40,2,2,4,CA$675'000.00,CA$ 168750.00,,,,
SWE,Landeskog,Gabriel,LW,COL,72,18,15,33,CA$5'500'000.00,CA$ 168831.18,,,,
DNK,Larsen,Philip,D,VAN,26,1,5,6,CA$1'025'000.00,CA$ 170833.33,,,,
CAN,Gaunce,Brendan,C/LW,VAN,57,0,5,5,CA$832'500.00,CA$ 172666.60,,,,
FIN,Honka,Julius,D,DAL,16,1,4,5,CA$925'000.00,CA$ 172666.60,,,,
USA,McCarron,Michael,RW/C,MTL,31,1,4,5,CA$832'500.00,CA$ 172666.60,,,,
CAN,Giordano,Mark,D,CGY,81,12,27,39,CA$6'750'000.00,CA$ 173076.92,,,,
CAN,Daley,Trevor,D,PIT,56,5,14,19,CA$2'700'000.00,CA$ 173684.21,,,,
SWE,Forsling,Gustav,D,CHI,38,2,3,5,CA$767'500.00,CA$ 174500.00,,,,
CAN,Franson,Cody,D,BUF,68,3,16,19,CA$2'650'000.00,CA$ 175000.00,,,,
CAN,Stastny,Paul,C,STL,66,18,22,40,CA$7'000'000.00,CA$ 175000.00,,,,
CAN,Seabrook,Brent,D,CHI,79,3,36,39,CA$9'000'000.00,CA$ 176282.05,,,,
CAN,Matthias,Shawn,LW/C,WPG,45,8,4,12,CA$2'125'000.00,CA$ 177083.33,,,,
