country,name,firstname,position,team,games,goals,assists,points,salary,dollar_point,,,,
FIN,Lehkonen,Artturi,LW,MTL,73,18,10,28,CA$667'500.00,CA$ 29970.25,,,,
CAN,Fabbri,Robby,C/LW,STL,51,11,18,29,CA$925'000.00,CA$ 30833.34,,,,
CAN,Tierney,Chris,C,S.J,80,11,12,23,CA$700'000.00,CA$ 30942.04,,,,
CAN,Pearson,Tanner,LW,L.A,80,24,20,44,CA$1'550'000.00,CA$ 31818.18,,,,
USA,Hanifin,Noah,D,CAR,81,4,25,29,CA$925'000.00,CA$ 31896.55,,,,
CAN,Konecny,Travis,C/LW,PHI,70,11,17,28,CA$925'000.00,CA$ 31934.54,,,,
CAN,Ritchie,Nick,LW,ANA,77,14,14,28,CA$925'000.00,CA$ 31934.54,,,,
CAN,Hyman,Zach,C/RW/LW,TOR,82,10,18,28,CA$900'000.00,CA$ 32142.86,,,,
USA,Cullen,Matt,C/LW,PIT,72,13,18,31,CA$1'000'000.00,CA$ 32258.06,,,,
SWE,Lindberg,Oscar,C,NYR,65,8,12,20,CA$700'000.00,CA$ 32500.00,,,,
CAN,Ferland,Micheal,LW/RW,CGY,76,15,10,25,CA$900'000.00,CA$ 33000.00,,,,
USA,Schmaltz,Nick,C/LW,CHI,61,6,22,28,CA$925'000.00,CA$ 33035.71,,,,
CAN,Chiasson,Alex,RW,CGY,81,12,12,24,CA$800'000.00,CA$ 33333.33,,,,
USA,Watson,Austin,LW,NSH,77,5,12,17,CA$575'000.00,CA$ 33823.53,,,,
CAN,Quine,Alan,C,NYI,61,5,13,18,CA$575'000.00,CA$ 34027.78,,,,
USA,Vesey,Jimmy,LW,NYR,80,16,11,27,CA$925'000.00,CA$ 34259.26,,,,
CAN,Pyatt,Tom,LW/C,OTT,82,9,14,23,CA$800'000.00,CA$ 34782.61,,,,
USA,Shore,Nick,C,L.A,70,6,11,17,CA$600'000.00,CA$ 35294.12,,,,
CAN,Bennett,Sam,C,CGY,81,13,13,26,CA$925'000.00,CA$ 35576.92,,,,
CAN,Beaulieu,Nathan,D,MTL,74,4,24,28,CA$1'000'000.00,CA$ 35714.29,,,,
USA,Labanc,Kevin,RW,S.J,55,8,12,20,CA$667'500.00,CA$ 35875.00,,,,
CAN,Moore,Dominic,C/LW,BOS,82,11,14,25,CA$900'000.00,CA$ 36000.00,,,,
CAN,Bourque,Rene,RW/LW,COL,65,12,6,18,CA$650'000.00,CA$ 36111.11,,,,
USA,Forbort,Derek,D,L.A,82,2,16,18,CA$650'000.00,CA$ 36111.11,,,,
CAN,Ritchie,Brett,RW,DAL,78,16,8,24,CA$875'000.00,CA$ 36458.33,,,,
CAN,Connolly,Brett,RW/LW,WSH,66,15,8,23,CA$850'000.00,CA$ 36956.52,,,,
CAN,Beauvillier,Anthony,C/LW,NYI,66,9,15,24,CA$925'000.00,CA$ 37256.96,,,,
CZE,Zacha,Pavel,C,N.J,70,8,16,24,CA$925'000.00,CA$ 37256.96,,,,
CAN,Cracknell,Adam,RW/C,DAL,69,10,6,16,CA$600'000.00,CA$ 37500.00,,,,
USA,Bennett,Beau,RW/LW,N.J,65,8,11,19,CA$725'000.00,CA$ 38157.89,,,,
FIN,Haula,Erik,C/LW,MIN,72,15,11,26,CA$1'050'000.00,CA$ 38461.54,,,,
CAN,Stecher,Troy,D,VAN,71,3,21,24,CA$925'000.00,CA$ 38541.67,,,,
USA,Lowry,Adam,C/LW,WPG,82,15,14,29,CA$1'000'000.00,CA$ 38793.10,,,,
DEU,Kuhnhackl,Tom,RW,PIT,57,4,12,16,CA$590'000.00,CA$ 39062.50,,,,
CAN,Sceviour,Colton,C/RW,FLA,80,9,15,24,CA$950'000.00,CA$ 39583.33,,,,
SWE,Karlsson,William,C,CBJ,81,6,19,25,CA$1'000'000.00,CA$ 40000.00,,,,
USA,Pesce,Brett,D,CAR,82,2,18,20,CA$792'500.00,CA$ 40458.35,,,,
CAN,Irwin,Matt,D,NSH,74,3,11,14,CA$575'000.00,CA$ 41071.43,,,,
GBR,Perlini,Brendan,LW,ARI,57,14,7,21,CA$925'000.00,CA$ 41111.10,,,,
AUT,Grabner,Michael,RW,NYR,76,27,13,40,CA$1'650'000.00,CA$ 41250.00,,,,
FIN,Lindell,Esa,D,DAL,73,6,12,18,CA$802'500.00,CA$ 41435.17,,,,
USA,Kero,Tanner,C/RW,CHI,47,6,10,16,CA$667'500.00,CA$ 41718.75,,,,
CAN,McKenzie,Curtis,LW,DAL,53,6,10,16,CA$700'000.00,CA$ 42187.50,,,,
USA,Zucker,Jason,LW/RW,MIN,79,22,25,47,CA$2'000'000.00,CA$ 42553.19,,,,
RUS,Nesterov,Nikita,D,MTL/T.B,48,4,13,17,CA$725'000.00,CA$ 42647.06,,,,
USA,Schaller,Tim,C,BOS,59,7,7,14,CA$600'000.00,CA$ 42857.14,,,,
CAN,Morrissey,Josh,D,WPG,82,6,14,20,CA$832'500.00,CA$ 43166.65,,,,
FIN,Granlund,Mikael,C,MIN,81,26,43,69,CA$3'200'000.00,CA$ 43478.26,,,,
USA,Vatrano,Frank,C/LW,BOS,44,10,8,18,CA$792'500.00,CA$ 44027.78,,,,
CAN,Ekblad,Aaron,D,FLA,68,10,11,21,CA$925'000.00,CA$ 44047.62,,,,
CAN,Parenteau,PA,RW,N.J/NSH,67,13,15,28,CA$1'250'000.00,CA$ 44642.86,,,,
CZE,Kase,Ondrej,RW,ANA,53,5,10,15,CA$645'000.00,CA$ 44666.67,,,,
USA,Glendening,Luke,C/RW/LW,DET,74,3,11,14,CA$675'000.00,CA$ 44880.93,,,,
USA,Jensen,Nick,D,DET,49,4,9,13,CA$600'000.00,CA$ 45192.31,,,,
SWE,Fast,Jesper,RW/LW,NYR,68,6,15,21,CA$1'000'000.00,CA$ 45238.10,,,,
DEU,Seidenberg,Dennis,D,NYI,73,5,17,22,CA$1'000'000.00,CA$ 45454.55,,,,
CZE,Sedlak,Lukas,C/LW,CBJ,62,7,6,13,CA$600'000.00,CA$ 46153.85,,,,
RUS,Buchnevich,Pavel,RW/LW,NYR,41,8,12,20,CA$925'000.00,CA$ 46250.00,,,,
USA,Chychrun,Jakob,D,ARI,68,7,13,20,CA$925'000.00,CA$ 46250.00,,,,
CHE,Niederreiter,Nino,RW,MIN,82,25,32,57,CA$3'500'000.00,CA$ 46783.63,,,,
USA,Wideman,Chris,D,OTT,76,5,12,17,CA$800'000.00,CA$ 47058.82,,,,
CAN,Hutton,Ben,D,VAN,71,5,14,19,CA$925'000.00,CA$ 47171.05,,,,
USA,Prince,Shane,LW/C,NYI,50,5,13,18,CA$800'000.00,CA$ 47222.22,,,,
USA,VandeVelde,Chris,C/LW,PHI,81,6,9,15,CA$725'000.00,CA$ 47500.00,,,,
USA,Maroon,Patrick,LW,EDM,81,27,15,42,CA$2'000'000.00,CA$ 47619.05,,,,
USA,Schmidt,Nate,D,WSH,60,3,14,17,CA$875'000.00,CA$ 47794.12,,,,
CAN,Setoguchi,Devin,RW,L.A,45,4,8,12,CA$575'000.00,CA$ 47916.67,,,,
CAN,Holden,Nick,D,NYR,80,11,23,34,CA$1'650'000.00,CA$ 48529.41,,,,
USA,Manson,Josh,D,ANA,82,5,12,17,CA$825'000.00,CA$ 48529.41,,,,
FIN,Armia,Joel,RW,WPG,57,10,9,19,CA$875'000.00,CA$ 48684.21,,,,
USA,Miller,J.T.,LW/RW/C,NYR,82,22,34,56,CA$2'750'000.00,CA$ 49107.14,,,,
USA,Carlo,Brandon,D,BOS,82,6,10,16,CA$717'500.00,CA$ 49322.94,,,,
CAN,Jooris,Josh,RW/C,ARI/NYR,54,4,8,12,CA$600'000.00,CA$ 50000.00,,,,
FIN,Korpikoski,Lauri,LW/RW,CBJ/DAL,69,8,12,20,CA$1'000'000.00,CA$ 50000.00,,,,
USA,Schroeder,Jordan,C/RW,MIN,37,6,7,13,CA$650'000.00,CA$ 50000.00,,,,
CAN,Upshall,Scottie,RW/LW,STL,73,10,8,18,CA$900'000.00,CA$ 50000.00,,,,
DNK,Bjorkstrand,Oliver,RW,CBJ,26,6,7,13,CA$600'000.00,CA$ 50448.69,,,,
CAN,McGinn,Brock,LW,CAR,57,7,9,16,CA$800'000.00,CA$ 50729.19,,,,
RUS,Kuznetsov,Evgeny,C/LW,WSH,82,19,40,59,CA$3'400'000.00,CA$ 50847.46,,,,
USA,Hinostroza,Vinnie,LW/C,CHI,49,6,8,14,CA$667'500.00,CA$ 51250.00,,,,
USA,Bonino,Nick,C,PIT,80,18,19,37,CA$2'100'000.00,CA$ 51351.35,,,,
CAN,Caggiula,Drake,LW/C,EDM,60,7,11,18,CA$925'000.00,CA$ 51388.89,,,,
CAN,Letestu,Mark,C/RW,EDM,78,16,19,35,CA$1'800'000.00,CA$ 51428.57,,,,
CAN,Duclair,Anthony,LW/RW,ARI,58,5,10,15,CA$832'500.00,CA$ 51500.00,,,,
USA,van Riemsdyk,Trevor,D,CHI,58,5,11,16,CA$750'000.00,CA$ 51562.50,,,,
CAN,Haley,Micheal,C,S.J,58,2,10,12,CA$625'000.00,CA$ 52083.33,,,,
CAN,Cousins,Nick,C/LW,PHI,60,6,10,16,CA$840'000.00,CA$ 52500.00,,,,
CHE,Baertschi,Sven,LW,VAN,68,18,17,35,CA$1'700'000.00,CA$ 52857.14,,,,
CAN,Marchand,Brad,LW/C,BOS,80,39,46,85,CA$5'000'000.00,CA$ 52941.18,,,,
CAN,Nash,Riley,C/RW,BOS,81,7,10,17,CA$900'000.00,CA$ 52941.18,,,,
USA,Hayes,Kevin,C/RW,NYR,76,17,32,49,CA$2'600'000.00,CA$ 53061.22,,,,
USA,Dumoulin,Brian,D,PIT,70,1,14,15,CA$800'000.00,CA$ 53333.33,,,,
SWE,Paajarvi,Magnus,LW,STL,32,8,5,13,CA$700'000.00,CA$ 53846.15,,,,
CAN,Staal,Eric,C,MIN,82,28,37,65,CA$3'500'000.00,CA$ 53846.15,,,,
CHE,Fiala,Kevin,LW,NSH,54,11,5,16,CA$925'000.00,CA$ 53958.31,,,,
AUT,Vanek,Thomas,LW/RW,DET/FLA,68,17,31,48,CA$2'600'000.00,CA$ 54166.67,,,,
CAN,Weal,Jordan,C/LW,PHI,23,8,4,12,CA$650'000.00,CA$ 54166.67,,,,
USA,Copp,Andrew,C,WPG,64,9,8,17,CA$925'000.00,CA$ 54411.76,,,,
FIN,Donskoi,Joonas,RW,S.J,61,6,11,17,CA$925'000.00,CA$ 54411.76,,,,
CAN,Matheson,Michael,D,FLA,81,7,10,17,CA$925'000.00,CA$ 54411.76,,,,
USA,Wood,Miles,LW,N.J,60,8,9,17,CA$925'000.00,CA$ 54411.76,,,,
USA,Clendening,Adam,D,NYR,31,2,9,11,CA$600'000.00,CA$ 54545.45,,,,
CAN,Stewart,Chris,RW/LW,MIN,79,13,8,21,CA$1'200'000.00,CA$ 54761.90,,,,
SWE,Hedman,Victor,D,T.B,79,16,56,72,CA$4'250'000.00,CA$ 55555.56,,,,
USA,Nelson,Brock,C/LW,NYI,81,20,25,45,CA$2'500'000.00,CA$ 55555.56,,,,
CAN,Dotchin,Jake,D,T.B,35,0,11,11,CA$615'000.00,CA$ 56060.64,,,,
