country,name,firstname,position,team,games,goals,assists,points,dollar_salary,dollar_point
USA,Kane,Patrick,RW/C,CHI,82,34,55,89,13800000,117978
USA,Stepan,Derek,C,NYR,81,17,38,55,8000000,118182
USA,Kesler,Ryan,C/RW,ANA,82,22,36,58,7875000,118534
CAN,Nolan,Jordan,C/LW/RW,L.A,46,4,4,8,1000000,118750
CAN,MacKinnon,Nathan,C/RW,COL,82,16,37,53,5000000,118868
FIN,Filppula,Valtteri,C/LW,PHI/T.B,79,12,30,42,5000000,119048
CAN,Pominville,Jason,RW,MIN,78,13,34,47,6250000,119149
USA,Leddy,Nick,D,NYI,81,11,35,46,4500000,119565
CAN,Comeau,Blake,LW/RW,COL,77,8,12,20,2400000,120000
CAN,Lucic,Milan,LW,EDM,82,23,27,50,8000000,120000
FIN,Ristolainen,Rasmus,D,BUF,79,6,39,45,5400000,120000
USA,Lappin,Nick,RW,N.J,43,4,3,7,842500,120357
USA,Gionta,Brian,RW,BUF,82,15,20,35,3250000,121429
CAN,King,Dwight,LW/RW,L.A/MTL,80,9,7,16,2100000,121875
CAN,Neal,James,RW/LW,NSH,70,23,18,41,5000000,121951
CAN,Kane,Evander,LW,BUF,70,28,15,43,6000000,122093
USA,Redmond,Zach,D,MTL,16,0,5,5,575000,122500
CAN,Killorn,Alex,LW/C,T.B,81,19,17,36,4450000,123611
SWE,Dahlbeck,Klas,D,CAR,43,2,4,6,750000,125000
CAN,Griffith,Seth,C/RW,FLA/TOR,24,0,5,5,625000,125000
DNK,Hansen,Jannik,RW,S.J/VAN,43,8,12,20,3000000,125000
CAN,Huberdeau,Jonathan,LW/C,FLA,31,10,16,26,4000000,125000
USA,Couturier,Sean,C,PHI,66,14,20,34,3750000,127451
SWE,Eriksson Ek,Joel,C/RW/LW,MIN,15,3,4,7,925000,127738
CAN,McCann,Jared,C,FLA,29,1,6,7,925000,127738
CAN,Zajac,Travis,C,N.J,80,14,31,45,6500000,127778
DNK,Nielsen,Frans,C,DET,79,17,24,41,6000000,128049
CAN,Brassard,Derick,C,OTT,81,14,25,39,5000000,128205
CAN,Hartnell,Scott,LW,CBJ,78,13,24,37,5000000,128378
USA,Jones,Seth,D,CBJ,75,12,30,42,5400000,128571
USA,Sutter,Brandon,C,VAN,81,17,17,34,4250000,128676
CAN,Brodie,T.J.,D,CGY,82,6,30,36,4838000,129178
CAN,Gallagher,Brendan,RW,MTL,64,10,19,29,4500000,129310
CAN,Bergeron,Patrice,C,BOS,79,21,32,53,8750000,129717
USA,Faulk,Justin,D,CAR,75,17,20,37,5500000,130631
CAN,Oleksiak,Jamie,D,DAL,41,5,2,7,918750,131250
RUS,Malkin,Evgeni,C/RW,PIT,62,33,39,72,9500000,131944
USA,Motte,Tyler,LW/C,CHI,33,4,3,7,925000,132143
USA,Santini,Steven,D,N.J,38,2,5,7,925000,132143
CAN,Kunitz,Chris,LW,PIT,71,9,20,29,3550000,132759
CAN,Clifford,Kyle,LW/C,L.A,73,6,6,12,1250000,133333
USA,Okposo,Kyle,RW,BUF,65,19,26,45,8000000,133333
CAN,Staal,Jordan,C/LW,CAR,75,16,29,45,6000000,133333
CAN,Cizikas,Casey,C,NYI,59,8,17,25,2500000,134000
CZE,Krejci,David,C,BOS,82,23,31,54,7250000,134259
CAN,Shaw,Andrew,C/LW/RW,MTL,68,12,17,29,5500000,134483
CAN,Thornton,Joe,C,S.J,79,7,43,50,6750000,135000
CZE,Voracek,Jakub,RW,PHI,82,20,41,61,10000000,135246
CAN,Pietrangelo,Alex,D,STL,80,14,34,48,7000000,135417
CAN,Stajan,Matt,C,CGY,81,6,17,23,3000000,135870
CZE,Hertl,Tomas,C/RW,S.J,49,10,12,22,2800000,136364
CAN,O'Reilly,Ryan,C/LW/RW,BUF,72,20,35,55,11000000,136364
CAN,Spurgeon,Jared,D,MIN,76,10,28,38,4250000,136513
CAN,Clutterbuck,Cal,RW,NYI,66,5,15,20,3500000,137500
USA,Hathaway,Garnet,RW,CGY,26,1,4,5,722500,138000
RUS,Ovechkin,Alex,LW/RW,WSH,82,33,36,69,10000000,138239
CAN,Nugent-Hopkins,Ryan,C,EDM,82,18,25,43,6000000,139535
DNK,Eller,Lars,C/LW/RW,WSH,81,12,13,25,4250000,140000
CAN,Ribeiro,Mike,C,NSH,46,4,21,25,3500000,140000
SWE,Sedin,Henrik,C,VAN,82,15,35,50,7000000,140000
CAN,Rodrigues,Evan,LW/C,BUF,30,4,2,6,842500,140417
SWE,Ekman-Larsson,Oliver,D,ARI,79,12,27,39,6000000,141026
CAN,Giroux,Claude,C/RW,PHI,82,14,44,58,9000000,142672
USA,Dubinsky,Brandon,C/LW,CBJ,80,12,29,41,5850000,142683
FIN,Jokinen,Jussi,LW/RW/C,FLA,69,11,17,28,4000000,142857
CAN,Muzzin,Jake,D,L.A,82,9,19,28,4000000,142857
CAN,Doan,Shane,RW/LW,ARI,74,6,21,27,3876134,143561
CAN,Conacher,Cory,C/LW,T.B,11,1,3,4,575000,143750
CAN,Dumont,Gabriel,C,T.B,39,2,2,4,575000,143750
CAN,Gaunce,Cameron,D,PIT,12,1,3,4,575000,143750
USA,Witkowski,Luke,D,T.B,34,0,4,4,575000,143750
CAN,Zolnierczyk,Harry,LW,NSH,24,2,2,4,575000,143750
CZE,Vrana,Jakub,LW,WSH,21,3,3,6,925000,143889
CAN,Smith-Pelly,Devante,RW/C/LW,N.J,53,4,5,9,1250000,144444
CAN,Barrie,Tyson,D,COL,74,7,31,38,5000000,144737
CAN,Marleau,Patrick,LW/C,S.J,82,27,19,46,6500000,144928
CAN,Burrows,Alex,LW/RW,OTT/VAN,75,15,16,31,3000000,145161
CZE,Gudas,Radko,D,PHI,67,6,17,23,4000000,145652
USA,Byfuglien,Dustin,D/RW,WPG,80,13,39,52,8000000,146154
CAN,Duchene,Matt,C/LW,COL,77,18,23,41,6000000,146341
USA,Miller,Drew,LW/RW,DET,55,5,2,7,1025000,146429
USA,Smith,Craig,RW/LW/C,NSH,78,12,17,29,4000000,146552
CAN,Calvert,Matt,LW,CBJ,65,10,5,15,2200000,146667
USA,Niskanen,Matt,D,WSH,78,5,34,39,5750000,147436
SWE,Kempe,Adrian,LW/C,L.A,25,2,4,6,925000,149028
CHE,Meier,Timo,RW,S.J,34,3,3,6,925000,149028
USA,Carpenter,Ryan,C,S.J,11,2,2,4,600000,150000
CAN,Goloubef,Cody,D,COL,33,0,5,5,800000,150000
FIN,Jokipakka,Jyrki,D,CGY/OTT,41,1,5,6,900000,150000
CAN,McClement,Jay,C,CAR,65,5,3,8,1100000,150000
CAN,Spezza,Jason,C,DAL,68,15,35,50,7500000,150000
CAN,Terry,Chris,LW/RW,MTL,14,2,2,4,600000,150000
CAN,Vlasic,Marc-Edouard,D,S.J,75,6,22,28,4250000,151786
USA,Goligoski,Alex,D,ARI,82,6,30,36,5375000,152083
DNK,Boedker,Mikkel,LW/RW,S.J,81,10,16,26,5200000,153846
RUS,Tyutin,Fedor,D,COL,69,1,12,13,2000000,153846
CAN,Montour,Brandon,D,ANA,27,2,4,6,925000,154167
USA,Yandle,Keith,D,FLA,82,5,36,41,7500000,154878
CAN,Moulson,Matt,LW,BUF,81,14,18,32,5000000,156250
CAN,Schenn,Luke,D,ARI,78,1,7,8,1000000,156250
CAN,Weise,Dale,RW,PHI,64,8,7,15,2750000,156667
SVK,Sekera,Andrej,D,EDM,80,8,27,35,6500000,157143
USA,Backes,David,RW/C,BOS,74,17,21,38,8000000,157895
CAN,Gryba,Eric,D,EDM,40,2,4,6,950000,158333
USA,Acciari,Noel,C,BOS,29,2,3,5,892500,158500
CAN,Doughty,Drew,D,L.A,82,12,32,44,7450000,159091
SWE,Sedin,Daniel,LW,VAN,82,15,29,44,7000000,159091
CAN,Sheahan,Riley,C,DET,80,2,11,13,2075000,159615
RUS,Markov,Andrei,D,MTL,62,6,30,36,4250000,159722
CAN,Chorney,Taylor,D,WSH,18,1,4,5,775000,160000
CAN,Demers,Jason,D,FLA,81,9,19,28,5500000,160714
CAN,Cammalleri,Mike,LW/C,N.J,61,10,21,31,5000000,161290
CAN,Grant,Derek,C,BUF/NSH,46,0,4,4,650000,162500
CAN,Perry,Corey,RW,ANA,82,19,34,53,10000000,162736
SWE,Ekholm,Mattias,D,NSH,82,3,20,23,3000000,163043
USA,Brown,Dustin,RW/LW,L.A,80,14,22,36,7000000,163194
CAN,Ceci,Cody,D,OTT,79,2,15,17,2250000,164706
USA,Hainsey,Ron,D,CAR/PIT,72,4,13,17,2500000,166667
CAN,Green,Mike,D,DET,72,14,22,36,6000000,166667
SWE,Brodin,Jonas,D,MIN,68,3,22,25,4000000,166667
USA,Bailey,Justin,RW,BUF,32,2,2,4,692500,167500
USA,Smith,Ben,RW/C,COL/TOR,40,2,2,4,675000,168750
SWE,Landeskog,Gabriel,LW,COL,72,18,15,33,5500000,168831
DNK,Larsen,Philip,D,VAN,26,1,5,6,1025000,170833
CAN,Gaunce,Brendan,C/LW,VAN,57,0,5,5,832500,172667
FIN,Honka,Julius,D,DAL,16,1,4,5,925000,172667
USA,McCarron,Michael,RW/C,MTL,31,1,4,5,832500,172667
CAN,Giordano,Mark,D,CGY,81,12,27,39,6750000,173077
CAN,Daley,Trevor,D,PIT,56,5,14,19,2700000,173684
SWE,Forsling,Gustav,D,CHI,38,2,3,5,767500,174500
CAN,Franson,Cody,D,BUF,68,3,16,19,2650000,175000
CAN,Stastny,Paul,C,STL,66,18,22,40,7000000,175000
CAN,Seabrook,Brent,D,CHI,79,3,36,39,9000000,176282
CAN,Matthias,Shawn,LW/C,WPG,45,8,4,12,2125000,177083
CAN,Ladd,Andrew,LW,NYI,78,23,8,31,8000000,177419
SVK,Marincin,Martin,D,TOR,25,1,6,7,1200000,178571
USA,Parise,Zach,LW,MIN,69,19,23,42,9000000,179487
CAN,Baptiste,Nicholas,RW,BUF,14,3,1,4,740000,179583
CAN,Brouwer,Troy,RW,CGY,74,13,12,25,4500000,180000
CAN,Toews,Jonathan,C,CHI,72,21,37,58,13800000,181034
RUS,Marchenko,Alexey,D,DET/TOR,41,1,7,8,1300000,181250
FIN,Pakarinen,Iiro,RW,EDM,14,2,2,4,725000,181250
SWE,Kruger,Marcus,C,CHI,70,5,12,17,3475000,181373
CAN,Fehr,Eric,C/RW,PIT/TOR,53,6,5,11,2000000,181818
SWE,Hagelin,Carl,LW,PIT,61,6,16,22,3667000,181818
CZE,Hudler,Jiri,RW/LW,DAL,32,3,8,11,2000000,181818
RUS,Kulemin,Nikolay,LW/RW,NYI,72,12,11,23,4250000,182065
CAN,Engelland,Deryk,D,CGY,81,4,12,16,2750000,182292
CZE,Nestrasil,Andrej,C/RW/LW,CAR,19,1,4,5,950000,182500
CAN,Savard,David,D,CBJ,74,6,17,23,3500000,184783
USA,Boeser,Brock,RW,VAN,9,4,1,5,925000,185000
USA,Compher,J.T.,LW/C,COL,21,3,2,5,925000,185000
USA,Connor,Kyle,LW,WPG,20,2,3,5,925000,185000
CAN,Rielly,Morgan,D,TOR,76,6,21,27,5000000,185185
USA,Martin,Paul,D,S.J,81,4,22,26,5000000,186538
CAN,Weber,Shea,D,MTL,78,17,25,42,12000000,187075
USA,Suter,Ryan,D,MIN,82,9,31,40,9000000,188462
USA,Johnson,Jack,D,CBJ,82,5,18,23,5000000,189441
USA,Merrill,Jon,D,N.J,51,1,5,6,1000000,189583
CAN,Read,Matt,RW/LW,PHI,63,10,9,19,4000000,190789
CAN,Bournival,Michael,LW,T.B,19,2,1,3,575000,191667
CAN,Stollery,Karl,D,N.J,11,0,3,3,575000,191667
USA,Thompson,Paul,RW,FLA,21,0,3,3,575000,191667
CHE,Vermin,Joel,RW,T.B,18,0,3,3,575000,191667
SVN,Kopitar,Anze,C,L.A,76,12,40,52,14000000,192308
USA,Miller,Kevan,D,BOS,58,3,10,13,2500000,192308
CHE,Streit,Mark,D,PHI/PIT,68,6,21,27,4000000,194444
CAN,McGinn,Jamie,LW/RW,ARI,72,9,8,17,3000000,196078
USA,Petry,Jeff,D,MTL,80,8,20,28,7000000,196429
CAN,Iginla,Jarome,RW,COL/L.A,80,14,13,27,5000000,197531
FRA,Auvitu,Yohann,D/LW,N.J,25,2,2,4,792500,198125
CAN,Dalpe,Zac,C,MIN,9,1,2,3,600000,200000
RUS,Kalinin,Sergey,C/RW,N.J,43,2,2,4,800000,200000
CZE,Rozsival,Michal,D,CHI,22,1,2,3,600000,200000
USA,Abdelkader,Justin,LW/RW,DET,64,7,14,21,5500000,202381
CAN,Quenneville,John,C,N.J,12,1,3,4,842500,202917
FIN,Vatanen,Sami,D,ANA,71,3,21,24,5000000,203125
CZE,Polak,Roman,D,TOR,75,4,7,11,2250000,204545
SWE,Stralman,Anton,D,T.B,73,5,17,22,4500000,204545
CAN,Nash,Rick,RW/LW,NYR,67,23,15,38,8000000,205263
USA,Wingels,Tommy,C/RW/LW,OTT/S.J,73,7,5,12,2600000,206250
CAN,Klein,Kevin,D,NYR,60,3,11,14,2750000,207143
USA,Stafford,Drew,RW/LW,BOS/WPG,58,8,13,21,4350000,207143
USA,Agostino,Kenny,LW,STL,7,1,2,3,625000,208333
USA,Brown,J.T.,RW,T.B,64,3,3,6,1250000,208333
CAN,Harrington,Scott,D,CBJ,22,1,2,3,632500,210833
CAN,Letang,Kris,D,PIT,41,5,29,34,7250000,213235
FIN,Lehtera,Jori,C,STL,64,7,15,22,4400000,213636
AUT,Raffl,Michael,LW/C,PHI,52,8,3,11,2350000,213636
CZE,Plekanec,Tomas,C,MTL,78,10,18,28,7000000,214286
CAN,Del Zotto,Michael,D,PHI,51,6,12,18,4000000,215278
CAN,Alzner,Karl,D,WSH,82,3,10,13,2800000,215385
USA,Harper,Shane,RW,FLA,14,2,1,3,650000,216667
CAN,Tanev,Brandon,LW/C/RW,WPG,51,2,2,4,874125,218531
CAN,Kulak,Brett,D,CGY,21,0,3,3,680000,218889
SWE,Larsson,Adam,D,EDM,79,4,15,19,3000000,219298
CAN,Archibald,Josh,RW,PIT,10,3,0,3,667500,219722
CAN,McLeod,Cody,LW/RW,COL/NSH,59,5,1,6,1250000,222222
CAN,Koekkoek,Slater,D,T.B,29,0,4,4,832500,223542
CAN,Lazar,Curtis,C/RW,CGY/OTT,37,1,3,4,832500,223542
CAN,Subban,P.K.,D,NSH,66,10,30,40,11000000,225000
CAN,Helm,Darren,C,DET,50,8,9,17,5000000,226471
USA,Murphy,Connor,D,ARI,77,2,15,17,2400000,226471
SWE,Hjalmarsson,Niklas,D,CHI,73,5,13,18,4100000,227778
USA,Hayden,John,LW/RW/C,CHI,12,1,3,4,925000,231250
CAN,Richardson,Brad,RW/C,ARI,16,5,4,9,2250000,231481
SVK,Gaborik,Marian,RW,L.A,56,10,11,21,6075000,232143
CAN,Phaneuf,Dion,D,OTT,81,9,21,30,7500000,233333
CAN,Hamhuis,Dan,D,DAL,79,1,15,16,4500000,234375
SWE,Edler,Alex,D,VAN,68,6,15,21,6000000,238095
CAN,Russell,Kris,D,EDM,68,1,12,13,3100000,238462
SVK,Chara,Zdeno,D,BOS,75,9,19,29,5000000,238506
SWE,Lander,Anton,C/LW/RW,EDM,22,1,3,4,1050000,246875
CAN,Dauphin,Laurent,C,ARI,24,2,1,3,767500,248333
CAN,Beauchemin,Francois,D,COL,81,5,13,18,4500000,250000
CAN,Biega,Alex,D,VAN,36,0,3,3,700000,250000
CAN,Desharnais,David,C,EDM/MTL,49,6,8,14,3500000,250000
SWE,Eriksson,Loui,LW/C,VAN,65,11,13,24,8000000,250000
CAN,Tootoo,Jordin,RW,CHI,50,2,1,3,750000,250000
CAN,Murray,Ryan,D,CBJ,60,2,9,11,2825000,256818
CAN,Mitchell,John,C,COL,65,3,4,7,1900000,257143
CAN,Boychuk,Johnny,D,NYI,66,6,17,23,7000000,260870
CAN,Bortuzzo,Robert,D,STL,38,1,3,4,1050000,262500
CAN,Prout,Dalton,D,CBJ/N.J,29,0,6,6,1250000,262500
USA,Hendricks,Matt,LW/C,EDM,42,4,3,7,1850000,264286
SWE,Olofsson,Gustav,D,MIN,13,0,3,3,925000,265000
CAN,Stone,Michael,D,ARI/CGY,64,3,12,15,4000000,266667
CAN,Mcquaid,Adam,D,BOS,77,2,8,10,3000000,275000
CAN,Hamonic,Travis,D,NYI,49,3,11,14,4875000,275510
ITA,Sbisa,Luca,D,VAN,82,2,11,13,3600000,276923
CAN,MacDonald,Andrew,D,PHI,73,2,16,18,4750000,277778
CAN,Martin,Matt,LW/RW,TOR,82,5,4,9,3500000,277778
RUS,Yakupov,Nail,RW/LW,STL,40,3,6,9,2500000,277778
USA,Gilbert,Tom,D,L.A,18,1,4,5,1400000,280000
USA,Fischer,Christian,RW,ARI,7,3,0,3,817500,284167
SWE,Lindholm,Hampus,D,ANA,66,6,14,20,3000000,285671
CAN,Bieksa,Kevin,D,ANA,81,3,11,14,4000000,285714
CAN,Pouliot,Benoit,LW,EDM,67,8,6,14,4000000,285714
USA,Rau,Kyle,C,FLA,24,2,1,3,925000,286250
USA,Sestito,Tom,LW,PIT,13,0,2,2,575000,287500
CAN,Gauthier,Frederik,C,TOR,21,2,1,3,832500,287778
RUS,Goldobin,Nikolay,RW/LW,S.J/VAN,14,3,0,3,925000,287778
USA,Ryan,Bobby,RW/LW,OTT,62,13,12,25,7000000,290000
USA,Erne,Adam,LW,T.B,26,3,0,3,925000,291389
CAN,Wideman,Dennis,D,CGY,57,5,13,18,6000000,291667
USA,Braun,Justin,D,S.J,81,4,9,13,3800000,292308
USA,Bjugstad,Nick,C,FLA,54,7,7,14,3350000,292857
CAN,Andreoff,Andy,LW/C,L.A,36,0,2,2,600000,293750
USA,Boll,Jared,RW,ANA,51,0,3,3,900000,300000
SVK,Hrivik,Marek,LW/C/RW,NYR,16,0,2,2,600000,300000
SWE,Nemeth,Patrik,D,DAL,40,0,3,3,900000,300000
USA,Shore,Drew,C,VAN,14,0,2,2,600000,300000
USA,Strait,Brian,D,WPG,5,0,2,2,600000,300000
CAN,Thorburn,Chris,RW/LW,WPG,64,3,1,4,1200000,300000
CAN,Smith,Brendan,D,DET/NYR,51,3,6,9,3250000,305556
USA,Bartkowski,Matt,D,CGY,24,1,1,2,575000,306250
CAN,Hamilton,Freddie,C,CGY,26,2,0,2,575000,306250
USA,Kampfer,Steven,D,FLA/NYR,11,1,1,2,625000,306250
CAN,Scandella,Marco,D,MIN,71,4,9,13,3750000,307692
CAN,Coburn,Braydon,D,T.B,80,5,7,12,3700000,308333
CAN,Colborne,Joe,C/LW/RW,COL,62,4,4,8,2500000,312500
CAN,Dowling,Justin,C,DAL,9,0,2,2,625000,312500
CAN,Fiddler,Vernon,C/LW,N.J/NSH,59,2,2,4,1250000,312500
CAN,Hudon,Charles,LW,MTL,3,0,2,2,575000,312500
CAN,Melchiori,Julian,D,WPG,18,0,2,2,600000,312500
CAN,Bouma,Lance,C/LW/RW,CGY,61,3,4,7,2200000,314286
CAN,Eakin,Cody,C,DAL,60,3,9,12,3850000,320833
CAN,Rattie,Ty,RW,CAR/STL,9,0,2,2,650000,325000
CAN,Dillon,Brenden,D,S.J,81,2,8,10,2750000,327000
CAN,Sharp,Patrick,LW/RW/C,DAL,48,8,10,18,5000000,327778
SWE,Soderberg,Carl,C/LW,COL,80,6,8,14,4750000,339286
USA,Coleman,Blake,C/LW,N.J,23,1,1,2,692500,340000
SWE,Wallmark,Lucas,C,CAR,8,0,2,2,675000,341667
USA,Johnson,Erik,D,COL,46,2,15,17,6000000,352941
CAN,Ennis,Tyler,LW/C/RW,BUF,51,5,8,13,3650000,353846
FIN,Hannikainen,Markus,LW,CBJ,10,1,1,2,742500,358750
CAN,Bouwmeester,Jay,D,STL,81,1,14,15,5600000,360000
SWE,Kronwall,Niklas,D,DET,57,2,11,13,5500000,365385
CAN,Borowiecki,Mark,D,OTT,70,1,2,3,1100000,366667
CAN,Girardi,Dan,D,NYR,63,4,11,15,6000000,366667
SVK,Cehlarik,Peter,LW/RW,BOS,11,0,2,2,692500,371250
CAN,Neil,Chris,RW,OTT,53,1,3,4,1500000,375000
USA,Lovejoy,Ben,D,N.J,82,1,6,7,2500000,380952
USA,Greene,Andy,D,N.J,66,4,9,13,5000000,384615
CAN,Deslauriers,Nicolas,LW,BUF,42,0,2,2,775000,387500
CAN,Leier,Taylor,LW,PHI,10,1,1,2,768150,389809
SWE,Aberg,Pontus,LW,NSH,15,1,1,2,842500,390417
SWE,Blidh,Anton,LW,BOS,19,1,1,2,792500,392084
USA,Orpik,Brooks,D,WSH,79,0,14,14,5500000,392857
CAN,Murphy,Ryan,D,CAR,27,0,2,2,750000,393750
CAN,Peca,Matthew,C,T.B,10,1,1,2,925000,398125
USA,Liles,John-Michael,D,BOS,36,0,5,5,2000000,400000
USA,Brodzinski,Jonny,C,L.A,6,0,2,2,925000,404375
FIN,Pulkkinen,Teemu,LW,ARI/MIN,13,2,0,2,812500,406250
CAN,Methot,Marc,D,OTT,68,0,12,12,4900000,408333
RUS,Emelin,Alexei,D,MTL,76,2,8,10,4200000,410000
SWE,Enstrom,Tobias,D,WPG,60,1,13,14,5750000,410714
USA,DeKeyser,Danny,D,DET,82,4,8,12,4000000,416667
SWE,Oduya,Johnny,D,CHI/DAL,52,2,7,9,3750000,416667
CAN,McNabb,Brayden,D,L.A,49,2,2,4,1600000,425000
CAN,Stamkos,Steven,C,T.B,17,9,11,20,9500000,425000
CAN,Tanev,Chris,D,VAN,53,2,8,10,3500000,445000
CAN,Dickinson,Jason,C,DAL,10,2,0,2,925000,447084
CHE,Mueller,Mirco,D,S.J,4,1,1,2,832500,447084
USA,Keller,Clayton,C/LW,ARI,3,0,2,2,900000,458334
USA,Hayes,Jimmy,RW,BOS,58,2,3,5,2300000,460000
USA,Schmaltz,Jordan,D,STL,9,0,2,2,925000,462500
USA,Bogosian,Zach,D,BUF,56,2,9,11,5250000,467532
SWE,Ericsson,Jonathan,D,DET,51,1,8,9,4250000,472222
CAN,Beleskey,Matt,LW,BOS,49,3,5,8,4000000,475000
CAN,Davidson,Brandon,D,EDM/MTL,38,0,3,3,1300000,475000
SWE,Gunnarsson,Carl,D,STL,56,0,6,6,2900000,483333
CAN,Garrison,Jason,D,T.B,70,1,8,9,3600000,511111
CAN,Schultz,Nick,D,PHI,28,0,4,4,2250000,562500
CAN,Staal,Marc,D,NYR,72,3,7,10,6000000,570000
CZE,Hemsky,Ales,RW,DAL,15,4,3,7,4000000,571429
USA,Oleksy,Steve,D,PIT,11,0,1,1,575000,575000
USA,Warsofsky,David,D,PIT,7,0,1,1,575000,575000
CAN,Abbott,Spencer,LW,CHI,1,0,0,0,575000,575000
USA,Burgdoerfer,Erik,D,BUF,2,0,0,0,575000,575000
USA,Carey,Paul,C,WSH,6,0,0,0,575000,575000
USA,Farnham,Bobby,RW,MTL,3,0,0,0,575000,575000
CAN,Froese,Byron,C,T.B/TOR,6,0,0,0,575000,575000
CAN,Jones,Connor,C/LW,NYI,4,0,0,0,575000,575000
CAN,Liambas,Mike,LW,NSH,1,0,0,0,575000,575000
CAN,Pardy,Adam,D,NSH,4,0,0,0,575000,575000
USA,Porter,Kevin,C,PIT,2,0,0,0,575000,575000
HRV,Rendulic,Borna,RW/C,VAN,1,0,0,0,575000,575000
CAN,Richard,Tanner,C,T.B,3,0,0,0,575000,575000
FIN,Maatta,Olli,D,PIT,55,1,6,7,4083300,583333
CAN,Gudbranson,Erik,D,VAN,30,1,5,6,3500000,583333
CAN,McEneny,Evan,D,VAN,1,0,0,0,575000,585000
USA,Oesterle,Jordan,D,EDM,2,0,0,0,585000,585000
CAN,Henley,Samuel,C/RW,COL,1,1,0,1,590000,586667
USA,Helgeson,Seth,D,N.J,9,1,0,1,600000,587500
CAN,Mitchell,Garrett,RW,WSH,1,0,0,0,600000,587500
CAN,Dea,Jean-Sebastien,C,PIT,1,0,0,0,575000,593333
CAN,Gaudreau,Frederick,C,NSH,9,0,1,1,595000,595000
CAN,Garbutt,Ryan,C/LW,ANA,27,2,1,3,2000000,600000
CZE,Kindl,Jakub,D,FLA,39,0,4,4,3000000,600000
USA,Schneider,Cole,LW/RW,BUF,4,0,1,1,600000,600000
CAN,Street,Ben,C,DET,6,0,1,1,600000,600000
USA,Butler,Chris,D,STL,1,0,0,0,600000,600000
USA,Callahan,Mitch,RW,DET,4,0,0,0,600000,600000
USA,Cannone,Patrick,C,MIN,3,0,0,0,600000,600000
CAN,Corrado,Frank,D,PIT/TOR,4,0,0,0,600000,600000
CAN,Grenier,Alex,RW,VAN,3,0,0,0,600000,600000
CAN,Hanley,Joel,D,MTL,7,0,0,0,600000,600000
DNK,Jensen,Nicklas,RW/LW,NYR,7,0,0,0,600000,600000
CAN,McNeill,Mark,C/RW,DAL,1,0,0,0,600000,600000
USA,Tynan,T.J.,C/RW,CBJ,3,0,0,0,600000,600000
CZE,Nosek,Tomas,LW/C,DET,11,1,0,1,575000,612500
CAN,Bass,Cody,C,NSH,9,0,0,0,575000,612500
CAN,Didomenico,Chris,C/RW,OTT,3,0,0,0,575000,612500
SWE,Granberg,Petter,D,NSH,10,0,0,0,575000,612500
USA,Ness,Aaron,D,WSH,2,0,0,0,575000,612500
FIN,Salomaki,Miikka,RW,NSH,5,0,0,0,575000,612500
CAN,Smith,Trevor,C/RW,NSH,1,0,0,0,575000,612500
CAN,Mitchell,Zack,RW,MIN,11,0,0,0,640000,615000
RUS,Tolchinsky,Sergey,LW,CAR,2,0,1,1,575000,616667
CAN,O'Brien,Liam,C/LW,WSH,1,0,0,0,630000,621667
USA,Rooney,Kevin,C,N.J,4,0,0,0,625000,625000
USA,Tropp,Corey,RW/LW,ANA,1,0,0,0,600000,625000
CAN,Wotherspoon,Tyler,D,CGY,4,0,0,0,625000,625000
CAN,Goodrow,Barclay,RW/C,S.J,3,0,1,1,635000,626667
CAN,Austin,Brady,D,BUF,5,0,0,0,635000,626667
CAN,Thomson,Ben,LW,N.J,3,0,0,0,635000,626667
USA,Zalewski,Michael,LW/C,VAN,1,0,0,0,632500,632500
FIN,Lindbohm,Petteri,D,STL,7,0,0,0,645000,636667
USA,McDonald,Colin,RW/C,PHI,3,1,0,1,625000,637500
CZE,Frk,Martin,RW,CAR,2,0,0,0,650000,639167
CAN,Gorges,Josh,D,BUF,66,1,5,6,3900000,650000
CAN,Beck,Taylor,LW,EDM/NYR,5,0,0,0,650000,650000
USA,Brown,Patrick,C,CAR,14,0,0,0,650000,650000
CAN,Howden,Quinton,C/LW/C,WPG,5,0,0,0,650000,650000
USA,Lashoff,Brian,D,DET,5,0,0,0,650000,650000
USA,McBain,Jamie,D,ARI,3,0,0,0,650000,650000
USA,McCormick,Max,RW/LW/C,OTT,7,0,0,0,650000,650000
USA,Nelson,Casey,D,BUF,11,0,0,0,650000,650000
CAN,Harpur,Ben,D,OTT,6,0,0,0,655000,653333
CAN,Lernout,Brett,D,MTL,2,0,0,0,660000,653333
USA,Stuart,Mark,D,WPG,42,2,2,4,2700000,656250
CAN,Bertuzzi,Tyler,LW,DET,7,0,0,0,667500,661667
CAN,Dorsett,Derek,RW,VAN,14,1,3,4,2500000,662500
USA,Pietila,Blake,LW/C,N.J,10,0,1,1,675000,662500
CAN,Gabriel,Kurtis,RW,MIN,13,0,1,1,725000,666667
CAN,Carrier,Alex,D,NSH,2,0,0,0,640000,668333
CAN,Paul,Nick,LW/C,OTT,1,0,0,0,692500,670000
CAN,Johnston,Ryan,D,MTL,7,0,0,0,692500,680000
USA,Labate,Joseph,C,VAN,13,0,0,0,680000,680000
USA,Russo,Robbie,D,DET,19,0,0,0,692500,680000
CAN,Weegar,Mackenzie,D,FLA,3,0,0,0,705000,680000
CZE,Simon,Dominik,C,PIT,2,0,1,1,667500,692500
