country,name,firstname,position,team,games,goals,assists,points,dollar_salary,dollar_point
USA,Bennett,Beau,RW/LW,N.J,65,8,11,19,725000,38158
FIN,Haula,Erik,C/LW,MIN,72,15,11,26,1050000,38462
CAN,Stecher,Troy,D,VAN,71,3,21,24,925000,38542
USA,Lowry,Adam,C/LW,WPG,82,15,14,29,1000000,38793
DEU,Kuhnhackl,Tom,RW,PIT,57,4,12,16,590000,39063
CAN,Sceviour,Colton,C/RW,FLA,80,9,15,24,950000,39583
SWE,Karlsson,William,C,CBJ,81,6,19,25,1000000,40000
USA,Pesce,Brett,D,CAR,82,2,18,20,792500,40458
CAN,Irwin,Matt,D,NSH,74,3,11,14,575000,41071
GBR,Perlini,Brendan,LW,ARI,57,14,7,21,925000,41111
AUT,Grabner,Michael,RW,NYR,76,27,13,40,1650000,41250
FIN,Lindell,Esa,D,DAL,73,6,12,18,802500,41435
USA,Kero,Tanner,C/RW,CHI,47,6,10,16,667500,41719
CAN,McKenzie,Curtis,LW,DAL,53,6,10,16,700000,42188
USA,Zucker,Jason,LW/RW,MIN,79,22,25,47,2000000,42553
RUS,Nesterov,Nikita,D,MTL/T.B,48,4,13,17,725000,42647
USA,Schaller,Tim,C,BOS,59,7,7,14,600000,42857
CAN,Morrissey,Josh,D,WPG,82,6,14,20,832500,43167
FIN,Granlund,Mikael,C,MIN,81,26,43,69,3200000,43478
USA,Vatrano,Frank,C/LW,BOS,44,10,8,18,792500,44028
CAN,Ekblad,Aaron,D,FLA,68,10,11,21,925000,44048
CAN,Parenteau,PA,RW,N.J/NSH,67,13,15,28,1250000,44643
CZE,Kase,Ondrej,RW,ANA,53,5,10,15,645000,44667
USA,Glendening,Luke,C/RW/LW,DET,74,3,11,14,675000,44881
USA,Jensen,Nick,D,DET,49,4,9,13,600000,45192
SWE,Fast,Jesper,RW/LW,NYR,68,6,15,21,1000000,45238
DEU,Seidenberg,Dennis,D,NYI,73,5,17,22,1000000,45455
CZE,Sedlak,Lukas,C/LW,CBJ,62,7,6,13,600000,46154
RUS,Buchnevich,Pavel,RW/LW,NYR,41,8,12,20,925000,46250
USA,Chychrun,Jakob,D,ARI,68,7,13,20,925000,46250
CHE,Niederreiter,Nino,RW,MIN,82,25,32,57,3500000,46784
USA,Wideman,Chris,D,OTT,76,5,12,17,800000,47059
CAN,Hutton,Ben,D,VAN,71,5,14,19,925000,47171
USA,Prince,Shane,LW/C,NYI,50,5,13,18,800000,47222
USA,VandeVelde,Chris,C/LW,PHI,81,6,9,15,725000,47500
USA,Maroon,Patrick,LW,EDM,81,27,15,42,2000000,47619
USA,Schmidt,Nate,D,WSH,60,3,14,17,875000,47794
CAN,Setoguchi,Devin,RW,L.A,45,4,8,12,575000,47917
CAN,Holden,Nick,D,NYR,80,11,23,34,1650000,48529
USA,Manson,Josh,D,ANA,82,5,12,17,825000,48529
FIN,Armia,Joel,RW,WPG,57,10,9,19,875000,48684
USA,Miller,J.T.,LW/RW/C,NYR,82,22,34,56,2750000,49107
USA,Carlo,Brandon,D,BOS,82,6,10,16,717500,49323
CAN,Jooris,Josh,RW/C,ARI/NYR,54,4,8,12,600000,50000
FIN,Korpikoski,Lauri,LW/RW,CBJ/DAL,69,8,12,20,1000000,50000
USA,Schroeder,Jordan,C/RW,MIN,37,6,7,13,650000,50000
CAN,Upshall,Scottie,RW/LW,STL,73,10,8,18,900000,50000
DNK,Bjorkstrand,Oliver,RW,CBJ,26,6,7,13,600000,50449
CAN,McGinn,Brock,LW,CAR,57,7,9,16,800000,50729
RUS,Kuznetsov,Evgeny,C/LW,WSH,82,19,40,59,3400000,50847
USA,Hinostroza,Vinnie,LW/C,CHI,49,6,8,14,667500,51250
USA,Bonino,Nick,C,PIT,80,18,19,37,2100000,51351
CAN,Caggiula,Drake,LW/C,EDM,60,7,11,18,925000,51389
CAN,Letestu,Mark,C/RW,EDM,78,16,19,35,1800000,51429
CAN,Duclair,Anthony,LW/RW,ARI,58,5,10,15,832500,51500
USA,van Riemsdyk,Trevor,D,CHI,58,5,11,16,750000,51563
CAN,Haley,Micheal,C,S.J,58,2,10,12,625000,52083
CAN,Cousins,Nick,C/LW,PHI,60,6,10,16,840000,52500
CHE,Baertschi,Sven,LW,VAN,68,18,17,35,1700000,52857
CAN,Marchand,Brad,LW/C,BOS,80,39,46,85,5000000,52941
CAN,Nash,Riley,C/RW,BOS,81,7,10,17,900000,52941
USA,Hayes,Kevin,C/RW,NYR,76,17,32,49,2600000,53061
USA,Dumoulin,Brian,D,PIT,70,1,14,15,800000,53333
SWE,Paajarvi,Magnus,LW,STL,32,8,5,13,700000,53846
CAN,Staal,Eric,C,MIN,82,28,37,65,3500000,53846
CHE,Fiala,Kevin,LW,NSH,54,11,5,16,925000,53958
AUT,Vanek,Thomas,LW/RW,DET/FLA,68,17,31,48,2600000,54167
CAN,Weal,Jordan,C/LW,PHI,23,8,4,12,650000,54167
USA,Copp,Andrew,C,WPG,64,9,8,17,925000,54412
FIN,Donskoi,Joonas,RW,S.J,61,6,11,17,925000,54412
CAN,Matheson,Michael,D,FLA,81,7,10,17,925000,54412
USA,Wood,Miles,LW,N.J,60,8,9,17,925000,54412
USA,Clendening,Adam,D,NYR,31,2,9,11,600000,54545
CAN,Stewart,Chris,RW/LW,MIN,79,13,8,21,1200000,54762
SWE,Hedman,Victor,D,T.B,79,16,56,72,4250000,55556
USA,Nelson,Brock,C/LW,NYI,81,20,25,45,2500000,55556
CAN,Dotchin,Jake,D,T.B,35,0,11,11,615000,56061
RUS,Kucherov,Nikita,RW,T.B,74,40,45,85,4250000,56078
USA,Atkinson,Cam,RW,CBJ,82,35,27,62,3500000,56452
RUS,Grigorenko,Mikhail,C,COL,75,10,13,23,1300000,56522
USA,Nieto,Matt,LW/RW,COL/S.J,59,7,6,13,735000,56538
USA,Coyle,Charlie,C/RW,MIN,82,18,38,56,2600000,57143
USA,Ruhwedel,Chad,D,PIT,34,2,8,10,575000,57500
CAN,Barberio,Mark,D,COL/MTL,60,2,11,13,800000,57692
CAN,Petan,Nic,LW/C,WPG,54,1,12,13,750000,58333
CAN,Beagle,Jay,C/RW,WSH,81,13,17,30,1750000,58333
CAN,Bailey,Josh,RW/LW/C,NYI,82,13,43,56,3700000,58929
CAN,Smith,Zack,C,OTT,74,16,16,32,2350000,58984
FRA,Ouellet,Xavier,D,DET,66,3,9,12,715000,59583
SVK,Tatar,Tomas,LW/C/RW,DET,82,25,21,46,2750000,59783
SWE,Lindholm,Elias,C/RW,CAR,72,11,34,45,2500000,60000
USA,Noesen,Stefan,RW,ANA/N.J,44,8,2,10,600000,60000
CAN,Pirri,Brandon,RW/LW/C,NYR,60,8,10,18,1100000,61111
CAN,Leivo,Josh,LW,TOR,13,2,8,10,575000,61250
USA,Deangelo,Anthony,D,ARI,39,5,9,14,925000,61667
CAN,Benning,Matthew,D,EDM,62,3,12,15,925000,61667
RUS,Barbashev,Ivan,C,STL,30,5,7,12,742500,61806
CAN,Kassian,Zack,RW,EDM,79,7,17,24,1500000,62500
CAN,Sissons,Colton,C,NSH,58,8,2,10,575000,62500
USA,Stempniak,Lee,RW,CAR,82,16,24,40,2500000,62500
CAN,Vermette,Antoine,C/LW,ANA,72,9,19,28,1750000,62500
CAN,White,Ryan,C,ARI/MIN,65,9,7,16,1000000,62500
USA,Czarnik,Austin,C,BOS,49,5,8,13,842500,62885
USA,Hunwick,Matt,D,TOR,72,1,18,19,1200000,63158
CAN,Brodziak,Kyle,C,STL,69,8,7,15,1000000,63333
CAN,Postma,Paul,D,WPG,65,1,13,14,925000,63393
SWE,Claesson,Fredrik,D,OTT,33,3,8,11,700000,63636
USA,Galchenyuk,Alex,C/LW,MTL,61,17,27,44,3100000,63636
CAN,Turris,Kyle,C,OTT,78,27,28,55,4000000,63636
CZE,Palat,Ondrej,LW,T.B,75,17,35,52,4000000,64103
SWE,Jarnkrok,Calle,C,NSH,81,15,16,31,1700000,64516
CAN,Benn,Jordie,D,DAL/MTL,71,4,13,17,1100000,64706
CAN,Stone,Mark,RW,OTT,71,22,32,54,3750000,64815
DEU,Rieder,Tobias,RW/C,ARI,80,16,18,34,2000000,65441
CAN,Johansen,Ryan,C/RW,NSH,82,14,47,61,6000000,65574
CAN,Ellis,Ryan,D,NSH,71,16,22,38,2500000,65789
USA,Pitlick,Tyler,RW/C,EDM,31,8,3,11,725000,65909
CAN,Shaw,Logan,C/RW,ANA,55,3,7,10,660000,66000
CAN,Pysyk,Mark,D,FLA,82,4,13,17,1250000,66176
CAN,Chaput,Michael,C,VAN,68,4,5,9,600000,66667
CAN,Perreault,Mathieu,C/LW,WPG,65,13,32,45,3000000,66667
CAN,Sgarbossa,Michael,C,ANA/FLA,38,2,7,9,600000,66667
CAN,Wiercioch,Patrick,D,COL,57,4,8,12,800000,66667
USA,Pacioretty,Max,LW,MTL,81,35,32,67,5000000,67164
SWE,Backlund,Mikael,C,CGY,81,22,31,53,3575000,67453
CAN,Williams,Justin,RW,WSH,80,24,24,48,3250000,67708
CAN,Chimera,Jason,LW/RW,NYI,82,20,13,33,2000000,68182
USA,van Riemsdyk,James,LW,TOR,82,29,33,62,5000000,68548
CHE,Malgin,Denis,C,FLA,47,6,4,10,640000,69000
RUS,Namestnikov,Vladislav,C/LW,T.B,74,10,18,28,1900000,69196
CAN,Graovac,Tyler,C,MIN,52,7,2,9,600000,69444
USA,Mayfield,Scott,D,NYI,25,2,7,9,575000,69444
